Disease_Name,Disease_Url,Disease_Logo_Image_url,Disease_Logo_File_Name
Atypical mycobacterial infection images,https://dermnetnz.org/topics/atypical-mycobacterial-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/m-marinum-2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,0cd06c9444a4d416322589774df32310.jpg
Atypical naevus images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d162865debe576a2d9c27858d9a8bf84.jpg
Autoimmune alopecia images,https://dermnetnz.org/images/alopecia-areata-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,4143d18eb7af8a5cab5019a053b7d4ac.jpg
B-K mole images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d162865debe576a2d9c27858d9a8bf84.jpg
BCC affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,55b69ecbe12aac4199559fffdf6dcdd7.jpg
BCC affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,7cfb36863bce91066960a92ff5fa364f.jpg
BCC affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,ec73938654d5b4f70853f0cb2f43bbe5.jpg
BCC affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,02e3a7446c2236ced23295674aa757e4.jpg
BCC affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,dec0bfdfe3d27190a5db5940140f6fd5.jpg
Bacteria images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9747a9b888760c4c268ad3e563aa6e86.jpg
Bacterial skin infection images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9747a9b888760c4c268ad3e563aa6e86.jpg
Balanitis images,https://dermnetnz.org/topics/balanitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/balanitis4-s-1__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,0403ad3fdd415cbbf1098604bd4a82e5.jpg
Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,55b69ecbe12aac4199559fffdf6dcdd7.jpg
Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,7cfb36863bce91066960a92ff5fa364f.jpg
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,ec73938654d5b4f70853f0cb2f43bbe5.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,02e3a7446c2236ced23295674aa757e4.jpg
Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,dec0bfdfe3d27190a5db5940140f6fd5.jpg
Basal cell epithelioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,55b69ecbe12aac4199559fffdf6dcdd7.jpg
Basal cell epithelioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,7cfb36863bce91066960a92ff5fa364f.jpg
Basal cell epithelioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,ec73938654d5b4f70853f0cb2f43bbe5.jpg
Basal cell epithelioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,02e3a7446c2236ced23295674aa757e4.jpg
Basal cell epithelioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,dec0bfdfe3d27190a5db5940140f6fd5.jpg
Basalioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,55b69ecbe12aac4199559fffdf6dcdd7.jpg
Basalioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,7cfb36863bce91066960a92ff5fa364f.jpg
Basalioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,ec73938654d5b4f70853f0cb2f43bbe5.jpg
